o_zone_id,d_zone_id,links
3,19,"['201564BA', '201568BA']"
3,602,"['200831AB', '200917BA', '201105BA', '201271AB', '201280AB', '201286AB', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,615,"['200820AB', '200833BA', '200846BA', '200997BA', '201001AB', '201061AB', '201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201595BA', '201606BA', 'detour-linkb']"
3,617,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201596AB', '201597BA', '201601BA', '201602BA', '201604BA', '201605AB']"
3,619,"['201065BA', '201102AB', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', '201604BA', '201605AB', '201607BA']"
3,620,"['201046BA', '201061AB', '201065BA', '201102AB', '201290BA', '201342BA', '201346BA', '201351BA', '201353BA', '201354BA', '201500BA', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA', 'detour-linkb']"
3,621,"['201104AB', '201338BA', '201340BA', '201500BA', '201532AB', '201533BA', '201541AB', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,622,"['201105BA', '201268AB', '201270BA', '201271AB', '201273AB', '201284BA', '201285AB', '201286AB', '201287BA', '201288AB', '201294AB', '201317AB', '201320BA', '201334AB', '201335BA', '201336BA', '201339BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,624,"['201105BA', '201333BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,625,"['201500BA', '201501AB', '201519BA', '201541AB', '201542BA', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,626,"['201502BA', '201526BA', '201527BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,627,"['201490BA', '201549AB', '201550BA', '201551BA', '201558BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,628,"['201105BA', '201271AB', '201278BA', '201294AB', '201317AB', '201320BA', '201335BA', '201502BA', '201509BA', '201517BA', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,637,"['201502BA', '201505BA', '201506BA', '201509BA', '201510AB', '201520BA', '201526BA', '201549AB', '201550BA', '201551BA', '201559AB', '201560BA', '201562BA', '201564BA', '201568AB', '201568BA']"
3,640,"['201544BA', '201549AB', '201550BA', '201551BA', '201559AB', '201562BA', '201564BA', '201568AB', '201568BA']"
3,645,"['201546BA', '201550BA', '201562BA', '201564BA', '201568BA', '201574BA']"
3,646,"['201066BA', '201069BA', '201070BA', '201080AB', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201577AB', '201636AB', '201638BA', '201810BA', '201827AB', '201844AB', '201847BA', '201849BA']"
3,647,"['201048BA', '201066BA', '201069BA', '201070BA', '201498BA', '201550BA', '201562BA', '201564BA', '201568BA', '201573BA', '201574BA', '201810BA', '201827AB', '201844AB', '201847BA', '201849BA']"
